Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
406,314.79,43.73,26.2556,170,170,0,0
407,233.6,42.2,26.0645,268,268,0,0
408,324.11,43.73,26.2556,30,30,0,0
409,204.79,71.27,9.5861,685,685,0,0
410,241.24,54.93,13.8472,230,230,0,0
411,320.78,55.53,13.3111,830,830,0,0
412,250.4,57.73,22.2889,135,135,0,0
413,210.14,57.07,13.5524,476,476,0,0
414,258.03,71.0,6.5722,815,815,0,0
415,224.37,41.6,27.0222,50,50,0,0
416,226.48,54.73,15.2306,390,390,0,0
417,208.22,43.73,28.0444,140,140,0,0
418,229.67,59.2,15.0167,85,85,0,0
419,214.55,41.6,26.0726,243,243,0,0
420,214.55,43.73,28.2167,55,55,0,0
421,314.48,39.47,26.2944,115,115,0,0
422,262.81,61.33,15.0417,5,5,0,0
423,323.04,42.8,19.6444,700,700,0,0
424,205.57,70.2,10.4056,635,635,0,0
425,172.07,48.27,16.0403,243,243,0,0
426,334.76,40.07,26.2556,385,385,0,0
427,327.28,54.93,13.4778,405,405,0,0
428,250.96,41.6,26.5,275,275,0,0
429,308.49,58.87,13.2167,480,480,0,0
430,330.6,42.2,26.2556,365,365,0,0
431,166.14,53.33,16.3306,38,38,0,0
432,322.06,58.27,13.2167,445,445,0,0
433,224.83,54.93,15.3944,40,40,0,0
434,318.43,43.73,26.2556,95,95,0,0
435,326.61,42.2,26.3167,360,360,0,0
436,322.82,59.8,13.2167,450,450,0,0
437,203.36,56.87,13.2419,704,704,0,0
438,316.27,43.73,26.2556,0,0,0,0
439,242.65,43.73,23.5,155,155,0,0
440,325.85,57.67,13.3417,365,365,0,0
441,216.05,41.6,26.7667,65,65,0,0
442,327.73,42.2,26.2556,365,365,0,0
443,235.39,41.6,26.0645,0,0,0,0
444,333.44,55.53,13.3111,410,410,0,0
445,204.27,43.73,27.8528,35,35,0,0
446,206.7,57.07,14.6139,330,330,0,0
447,295.66,62.87,13.25,120,120,0,0
448,264.77,74.67,8.8917,360,360,0,0
449,163.63,54.8,15.4435,243,243,0,0
450,206.53,57.87,15.35,610,610,0,0
451,199.45,41.6,28.5667,30,30,0,0
452,315.02,41.6,26.2778,410,410,0,0
453,221.53,41.6,27.9611,65,65,0,0
454,314.8,57.07,13.3583,420,420,0,0
455,236.18,41.6,26.0645,0,0,0,0
456,323.68,42.2,26.2556,430,430,0,0
457,327.17,55.53,3.4472,860,860,0,0
458,320.8,43.4,26.2556,55,55,0,0
459,316.14,59.8,13.25,515,515,0,0
460,263.27,59.07,14.2056,405,405,0,0
461,160.54,73.13,5.3629,253,253,0,0
462,328.2,55.53,13.2167,800,800,0,0
463,286.95,59.8,13.3778,660,660,0,0
464,224.7,71.13,3.8611,200,200,0,0
465,293.5,43.73,23.875,205,205,0,0
466,329.51,76.47,0.3611,870,870,0,0
467,197.67,69.47,2.4839,526,526,0,0
468,313.24,43.73,26.2556,65,65,0,0
469,256.82,52.8,12.8917,705,705,0,0
470,315.67,56.73,13.3583,675,675,0,0
471,325.83,43.73,26.2556,25,25,0,0
472,325.11,54.13,13.2889,535,535,0,0
473,203.45,71.47,0.879,318,318,0,0
474,267.75,72.2,8.375,1075,1075,0,0
475,319.96,55.53,13.3111,760,760,0,0
476,303.89,63.47,13.2556,610,610,0,0
477,211.74,41.6,26.725,250,250,0,0
478,349.65,53.4,13.2167,725,725,0,0
479,220.21,42.2,26.0645,321,321,0,0
480,312.68,58.8,13.3167,805,805,0,0
481,282.87,56.73,10.6722,750,750,0,0
482,313.2,72.33,2.075,1230,1230,0,0
483,195.39,70.07,11.7861,575,575,0,0
484,294.91,73.73,0.7472,860,860,0,0
485,180.32,51.8,14.2056,213,213,0,0
486,311.56,58.27,13.2167,815,815,0,0
487,262.48,55.53,13.6833,505,505,0,0
488,301.76,45.53,26.3778,90,90,0,0
489,322.77,42.2,26.2556,385,385,0,0
490,329.62,42.2,26.2556,490,490,0,0
491,231.7,57.67,13.1613,53,53,0,0
492,270.07,54.93,14.0889,520,520,0,0
493,324.92,58.27,13.3722,935,935,0,0
494,304.94,71.0,0.5056,790,790,0,0
495,268.86,43.73,26.3167,245,245,0,0
496,234.12,54.93,15.1444,160,160,0,0
497,215.15,42.2,26.5323,43,43,0,0
498,243.87,38.73,26.6222,205,205,0,0
499,334.16,70.07,0.4917,1110,1110,0,0
